一级分类,二级分类,节点ID,课程编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间,API文档ID,API文件名,API分类
"党建基础理论","党章学习","party-constitution","GC00I0318115_1812","树立山水林田湖草是生命共同体的综合治理观","郭兆晖","",43,"精品三分屏","本课程由中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、资源性产品；二、可再生能源；三、生态产品；四、可再生生物资源；五、废弃物吸收能力。",2018.11,"","",""
"党建基础理论","党章学习","party-constitution","NGC00I0219035_1903","推动落实《2030年可持续发展议程》","郭兆晖","",29,"专家讲授精制视频","本课程由中共中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、什么是《2030年可持续发展议程》；二、落实2030年可持续发展议程中方立场文件；三、中国落实2030年可持续发展议程",2019.3,"","",""
"党建基础理论","党章学习","party-constitution","GC00I0219045_1905","坚决打好污染防治攻坚战","郭兆晖","",37,"精品三分屏","本课程由中央党校（国家行政学院）社会和生态文明部生态文明建设室副主任郭兆晖副教授主讲，主要内容有：一、污染防治攻坚战面临的形势；二、完成污染防治攻坚战各项任务。",2019.4
,"","",""
"党建基础理论","党章学习","party-constitution","GC00I0119115_1912","守护碧水蓝天，坚决打好污染防治攻坚战（上）","李雪峰","",33,"精品三分屏","本课程是《守护碧水蓝天，坚决打好污染防治攻坚战》系列课程的上半部分，由中共中央党校（国家行政学院）应急管理教研部教授、博士生导师李雪峰主讲，主要内容有：一、习近平总书记生态文明思想；二、污染防治的挑战",2019.11,"","",""
"党建基础理论","党章学习","party-constitution","GC00I0219115_1912","守护碧水蓝天，坚决打好污染防治攻坚战（下）","李雪峰","",27,"精品三分屏","本课程是《守护碧水蓝天，坚决打好污染防治攻坚战》系列课程的下半部分，由中共中央党校（国家行政学院）应急管理教研部教授、博士生导师李雪峰主讲，主要内容有：三、推动形成绿色发展方式和生活方式；四、打好污染",2019.11,"","",""
"党建基础理论","党章学习","party-constitution","HGC00A0121031_2104","“无废城市”试点初步进展","陈瑛","",20,"精品三分屏","本课程由生态环境部固废与化学品管理中心固废管理技术部主任陈瑛主讲，主要内容有：一、“无废城市”试点建设；二、“无废城市”试点初步成效；三、推进“无废城市”建设的下一步工作计划。",2021.3,"","",""
"党建基础理论","党章学习","party-constitution","HGC00I0122025_2203","我国实现“双碳”目标的形势与任务（上）","马爱民","",39,"精品三分屏","本课程是《我国实现“双碳”目标的形势与任务》系列课程的上半部分，由国家应对气候变化战略研究和国际合作中心副主任马爱民主讲，主要内容有：一、我国为什么提出“双碳”目标愿景；二、我国能不能实现“双碳”目标",2022.2,"","",""
"党建基础理论","党章学习","party-constitution","HGC00I0222025_2203","我国实现“双碳”目标的形势与任务（下）","马爱民","",38,"精品三分屏","本课程是《我国实现“双碳”目标的形势与任务》系列课程的下半部分，由国家应对气候变化战略研究和国际合作中心副主任马爱民主讲，主要内容有：二、我国能不能实现“双碳”目标；三、我国要实现什么样的“双碳”目标",2022.2,"","",""
"党建基础理论","党章学习","party-constitution","HGC00I0322025_2203","“双碳”目标背景下中国应对气候变化的政策与行动（上）","丁辉","",25,"精品三分屏","本课程是《“双碳”目标背景下中国应对气候变化的政策与行动》系列课程的上半部分，由生态环境部应对气候变化司综合处处长丁辉主讲，主要内容有：一、碳达峰、碳中和目标解读；二、全球碳达峰、碳中和的进程。",2022.2,"","",""
"党建基础理论","党章学习","party-constitution","HGC00I0422025_2203","“双碳”目标背景下中国应对气候变化的政策与行动（下）","丁辉","",34,"精品三分屏","本课程是《“双碳”目标背景下中国应对气候变化的政策与行动》系列课程的下半部分，由生态环境部应对气候变化司综合处处长丁辉主讲，主要内容有：三、我国应对气候变化的政策与行动；四、重点区域、行业和企业碳达峰",2022.2,"","",""
"党建基础理论","党章学习","party-constitution","NGC00I0122045_2204","全面推行河长制湖长制（上）","刘小勇","",32,"专家讲授精制视频","本课程是《全面推行河长制湖长制》系列课程的第一部分，由水利部发展研究中心河湖长处处长刘小勇主讲，主要内容是：一、河湖长制工作回顾；二、当前面临形势分析。",2022.4,"","",""
"党建基础理论","党章学习","party-constitution","NGC00I0222045_2204","全面推行河长制湖长制（中）","刘小勇","",36,"专家讲授精制视频","本课程是《全面推行河长制湖长制》系列课程的第二部分，由水利部发展研究中心河湖长处处长刘小勇主讲，主要内容是：三、下一步工作推进策略。",2022.4,"","",""
